,name,city,country,passengers,distance
82,Imphal Airport,Imphal,Manipur,0.003836322617959112,8183.113110289242
83,Maharana Pratap Airport,Udaipur,Rajasthan,0.0037281927743970655,7713.289013199919
84,Vijayawada International Airport,Vijayawada,Andhra Pradesh,0.003373058602320677,8762.105462658039
85,Vadodara Airport,Vadodara,Gujarat,0.003293931054630017,7945.344766935124
86,Tirupati Airport,Tirupati,Andhra Pradesh,0.00249114834028119,9041.975033661496
87,Leh Kushok Bakula Rimpochee Airport,Leh,Ladakh,0.002276511659941795,6786.361878536875
88,Gorakhpur Airport,Gorakhpur,Uttar Pradesh,0.001986103833810239,7734.502387952116
89,Shirdi Airport,Shirdi,Maharashtra,0.0016974980225646335,8251.310807396387
90,Jodhpur Airport,Jodhpur,Rajasthan,0.0016967461885393695,7511.792709842405
91,Dibrugarh Airport,Dibrugarh,Assam,0.0015871842801672975,7912.919995027124
92,Hubli Airport,Hubli,Karnataka,0.0014177978643563785,8744.23174726382
93,Allahabad Airport,Prayagraj,Uttar Pradesh,0.001235346840622324,7829.628412891012
94,Jinnah International Airport,Karachi,KHI,0.3107855476992559,7504.2788723827525
95,Islamabad International Airport,Islamabad-Rawalpindi,ISB,0.25716271745035674,6736.400161211634
96,Allama Iqbal International Airport,Lahore,LHE,0.22462568072829803,6983.288463391785
97,Bacha Khan International Airport,Peshawar,PEW,0.07014755658186599,6648.784446955556
98,Multan International Airport,Multan,MUX,0.049924810976897015,7050.551277828159
99,Sialkot International Airport,Sialkot,SKT,0.032519777764659856,6884.68198107287
100,Faisalabad International Airport,Faisalabad,LYP,0.0180355604558766,6967.881003395928
101,Quetta International Airport,Quetta,UET,0.018319958058232225,6934.241283575488
102,Sukkur Airport,Sukkur,SKZ,0.004682029973556275,7246.478820181274
103,Shaikh Zayed International Airport ,Rahim Yar Khan,RYK,0.0026999012487481005,7215.426504557827
104,Skardu Airport ,Skardu,KDU,0.0024602768837026423,6609.223687295935
105,Turbat Airport ,Turbat,TUK,0.0022325086720007678,7275.999136366215
106,Gilgit Airport ,Gilgit,GIL,0.002258021913373041,6516.439058983634
107,Bahawalpur Airport ,Bahawalpur,BHV,0.00119472005971099,7150.23903714855
108,Gwadar International Airport ,Gwadar,GWD,0.0013045770755021856,7336.889085420756
109,Moenjodaro Airport ,Mohenjodaro,MJD,0.0004203681710807909,7271.5291617550365
110,Dera Ghazi Khan International Airport ,Dera Ghazi Khan,DEA,0.00036043706683768883,7045.837907497176
111,Chitral Airport ,Chitral,CJL,0.00027504274718578945,6454.323537716659
112,Zhob Airport ,Zhob,PZH,9.179764297670492e-05,6875.646485447374
113,Panjgur Airport ,Panjgur,PJG,0.00027864461655599255,7202.119518688333
114,Dalbandin Airport ,Dalbadin,DBA,0.00022006421332671655,7004.248926223991
115,Barisal Airport,Barisal,BZL,0.011647199462057629,8317.51658114954
116,Shah Amanat International Airport,Chittagong,CGP,0.42027320499090975,8411.971962664626
117,Cox's Bazar Airport,Cox's Bazar,CXB,0.1343030408686773,8501.904712892509
118,Shahjalal International Airport,Dhaka,DAC,0.12899160710283167,8207.08311259645
119,Jessore Airport,Jessore,JSR,0.07329664035065872,8249.859430087392
120,Shah Makhdum Airport,Rajshahi,RJH,0.02078325405324633,8101.362340021334
121,Saidpur Airport,Saidpur,SPD,0.0779119866510597,7965.512655784799
122,Osmani International Airport,Sylhet,ZYL,0.13279306652055886,8119.1100560662135
