,name,city,country,passengers,lng,lat
0,Barisal Airport,Barisal,BZL,46767,90.3006337,22.8040204
1,Shah Amanat International Airport,Chittagong,CGP,1687523,91.820132,22.2540055
2,Cox's Bazar Airport,Cox's Bazar,CXB,539267,91.9636482,21.454924
3,Shahjalal International Airport,Dhaka,DAC,517940,90.4013811,23.8449519
4,Jessore Airport,Jessore,JSR,294308,89.1602204,23.1841172
5,Shah Makhdum Airport,Rajshahi,RJH,83451,88.6142954,24.4383532
6,Saidpur Airport,Saidpur,SPD,312840,88.9094267,25.7579503
7,Osmani International Airport,Sylhet,ZYL,533204,91.8610944,24.9640011
